tag	current_zh	ja	en	post_count
egyptian_mythology	埃及神话	エジプト神話	Egyptian Mythology	970
eiketsu_taisen	英杰大战	英傑大戦	Eiketsu Taisen	59
eikou_printing_(printing_company)	荣光印刷	栄光印刷	Eikou Printing (Printing Company)	8
eikyuu_hours	永久hours	永久hours	Eikyuu Hours	56
eileen's_legend	爱琳诗篇	愛琳詩篇	Eileen's Legend	1
eiyuden_chronicle:_hundred_heroes	百英雄传	百英雄伝	Eiyuden Chronicle: Hundred Heroes	10
eiyuu_densetsu	英雄传说	英雄伝説	Eiyuu Densetsu	12954
eiyuu_kyoushitsu	英雄教室	英雄教室	Class Room for Heroes	40
eiyuu_senki	英雄战姬	英雄戦姫	Eiyuu Senki	600
eiyuu_senki_ww	英雄战姬WW	英雄戦姫WW	Eiyuu Senki Ww	146
eiyuu_x_maou	英雄×魔王	英雄×魔王	Eiyuu X Maou	13
eizouken_ni_wa_te_wo_dasu_na!	映像研	映像研には手を出すな!	Keep Your Hands Off Eizouken	977
ekiden_gekisou_uchuujin	驿传激走宇宙人	駅伝激走宇宙人	Ekiden Gekisou Uchuujin	1
elden_ring	艾尔登法环	エルデンリング	Elden Ring	13351
elden_ring:_shadow_of_the_erdtree	黄金树的阴影	黄金樹の影	Elden Ring: Shadow Of The Erdtree	1652
elden_ring_nightreign	艾尔登法环：黑夜君临	エルデンリング ナイトレイン	Elden Ring Nightreign	2627
electric_hearts	电子之心	電子之心	Electric Hearts	63
elegant_impermanence_of_sakura	东方祈华梦	東方祈華夢	Elegant Impermanence Of Sakura	2
elf_to_shuryoushi_no_item_koubou	小妖精和狩猎士的道具工坊	エルフと狩猟士のアイテム工房	Elf To Shuryoushi No Item Koubou	14
elsword	艾尔之光	エルソード	Elsword	7349
embodiment_of_scarlet_devil	东方红魔乡	東方紅魔郷	Embodiment of Scarlet Devil	2378
emergence_(shindol)	变身Emergence	変身Emergence	Emergence	108
emergency_everyday	链缘无现里	鏈縁无現里	Emergency Everyday	10
emil_chronicle_online	艾米尔编年史	エミルクロニクルオンライン	Emil Chronicle Online	3255
en'en_no_shouboutai	炎炎消防队	炎炎ノ消防隊	Fire Force	1161
enchanter	机工魔术士	機工魔術士	Enchanter	6
endless_alice	无尽爱丽丝	エンドレスアリス	Endless Alice	7
endless_dream	无尽梦回	無尽夢迴	Endless Dream	12
endless_gods	无尽神域	無尽神域	Endless Gods	4
enicia_to_keiyaku_mon	艾妮希雅与契约纹	エニシアと契約紋	Enicia To Keiyaku Mon	27
enjo_kouhai	援助交配	援助交配	Enjo Kouhai	538
enjou_gakuen	艶娘学园	艶嬢学園	Enjou Gakuen	11
enjou_gakuen_~enjou_joshi_o_shidou_seyo!~	艶娘学园	艶嬢学園	Enjou Gakuen ~enjou Joshi O Shidou Seyo!~	11
enkon_wiegenlied	怨恨摇篮曲	怨恨ヴィーゲンリート	Enkon Wiegenlied	1
enkou_shoujo	圆交少女	円交少女	Enkou Shoujo	27
enmusubi_gakuen	缘结学园	縁結学園	Enmusubi Gakuen	1
ensemble_stars!	偶像梦幻祭	あんさんぶるスターズ!	Ensemble Stars!	13266
enter_the_dragon	龙争虎斗	燃えよドラゴン	Enter The Dragon	11
ephemeral_unnatural_balance	东方逆妙乱	東方逆妙乱	Ephemeral Unnatural Balance	5
epic_seven	第七史诗	エピックセブン	Epic7	1744
erha_he_ta_de_bai_mao_shizun	哈二哈和他的白猫师尊	二哈と彼の白猫師尊	The Husky and His White Cat Shizun	395
eromanga_sensei	埃罗芒阿老师	エロマンガ先生	Eromanga Sensei	3992
error:_metamorphosis	蝶变	ERROR:蝶变	Error: Metamorphosis	10
error:_weibuzudao	error微不足道	微不足道	Error: Weibuzudao	7
escape_from_tarkov	逃离塔科夫	タルコフ	Escape From Tarkov	365
eshi_100_nin_ten	绘师100人展	絵師100人展	Eshi 100 Nin Ten	300
eshi_x_kashi_ame-hen	绘师×歌词 雨编	絵師×歌詞 雨編	Eshi X Kashi Ame-hen	6
etaine_(game)	伊泰恩	伊泰恩	Etaine	1
eternal_return:_black_survival	永恒轮回	エターナルリターン	Eternal Return: Black Survival	3551
eternal_senia	永恒的赛妮亚	永遠のセニア	EternalSenia	72
eternal_tree	悠久之树	エターナルツリー	Eternal Tree	28
etsusa_oohashi	越佐大桥	越佐大橋	Etsusa Oohashi	53
eureka_seven	交响诗篇	交響詩篇エウレカセブン	Eureka Seven	1448
europa_universalis	欧陆风云	ヨーロッパ・ユニバーサリス	Europa Universalis	9
europa_universalis_iii	欧陆风云3	欧陸風雲3	Europa Universalis III	1
europa_universalis_iv	欧陆风云4	ヨーロッパ・ユニバーサリス4	Europa Universalis IV	1
evanescent_existence	连缘无现里	連縁无現里	Evanescent Existence	80
evangelion:_2.0_you_can_(not)_advance	新世纪福音战士新剧场版：破	ヱヴァンゲリヲン新劇場版:破	Evangelion: 2.0 You Can (Not) Advance	3199
evangelion:_3.0+1.0_thrice_upon_a_time	新·福音战士剧场版:│▌	シン・エヴァンゲリオン劇場版	Evangelion 3.0+1.0 Thrice Upon a Time	2080
evangelion:_3.0_you_can_(not)_redo	新世纪福音战士新剧场版:Q	ヱヴァンゲリヲン新劇場版:Q	Evangelion: 3.0 You Can (Not) Redo	3975
eve_online	星战前夜		Eve Online	1552
ever_after_high	童话高中	エバー・アフター・ハイ	Ever After High	17
ever_green	青涩泳痕	エバーグリーン	Ever Green	5
eversoul	永恒灵魂	エバーソウル	Soul Artifact	419
evillious_nendaiki	恶之系列	エヴィリオス	Evillious Chronicles	1531
ex_astris	来自星尘	エクスアストリス	Ex Astris	74
ex_eientei	EX永远亭	EX永遠亭	Ex Eientei	1
exorcist_onmyoji	除灵阴阳师	除靈陰陽師	Exorcist Onmyoji	3
expo2005	爱知万博	2005年日本国際博覧会	Expo 2005	12
expo2025	大阪万博2025	大阪・関西万博	Expo2025	294
extraordinary_attorney_woo	非常律师禹英禑	非常律師禹英禑	Extraordinary Attorney Woo	8
fabulous_beasts	有兽焉	有兽焉	Fabulous Beasts	14
fahrenheit_451	华氏451度	華氏451度	Fahrenheit 451	4
fairy_sphere	精灵之境	精霊之境	Fairy Sphere	3
fairy_tail	妖精的尾巴	フェアリーテイル	Fairy Tail	4594
fairy_tail:_forces_unite!	妖精的尾巴：魔导少年	妖精的尾巴:魔导少年	Fairy Tail: Forces Unite!	1
fairyland_online	童话王国	童話王国	Fairyland Online	1
faith_fever	Faith Fever (假)	Faith Fever (仮)	Faith Fever	2
fall_of_the_princess	王女陷落	王女陥落	Fall Of The Princess	10
fallen_angels_(movie)	堕落天使	天使の涙	Fallen Angels (movie)	22
fallen_sanctuary_(fallenlion)	坠落的圣域	墜落的聖域	Fallen Sanctuary (fallenlion)	3
fallout	辐射	フォールアウト	Fallout	1981
false_island	伪岛	偽島	False Island	17
false_memory	记忆管理局	記憶管理局	False Memory	639
false_memory_(2020)	记忆管理局	記憶管理局	False Memory (2020)	8
famicom_mukashibanashi:_yuyuki	游游记	遊遊記	Famicom Mukashibanashi: Yuyuki	13
family_guy	恶搞之家	ファミリー・ガイ	Family Guy	855
fancy_dress_party_(idolmaster)	假装狂骚曲	仮装狂騒曲	Fancy Dress Party (idolmaster)	65
fancy_frontier	开拓动漫祭	開拓動漫祭	Fancy Frontier	11
fang_xue_deng_wo	放学等我	放学等我	Fang Xue Deng Wo	3
fantastic_danmaku_festival	东方幕华祭	東方幕華祭	Fantastic Danmaku Festival	44
fantastic_four	神奇四侠	ファンタスティック・フォー	Fantastic Four	1656
fantasy_saga_online	超魔导大战	超魔導大戦	Fantasy Saga Online	4
fantasy_suhakdaejeon	幻想数学大战	幻想数学大戦	Fantasy Suhakdaejeon	9
fantasy_westward_journey	梦幻西游	夢幻西遊	Fantasy Westward Journey	17
fanzheng_zhen_zhishi_ge_ai_moyu_de_mowang	反正朕只是个爱摸鱼的魔王	反正朕只是個愛摸魚的魔王	Fanzheng Zhen Zhishi Ge Ai Moyu De Mowang	7
fanzui_xinli	犯罪心理	犯罪心理	Fanzui Xinli	1
fata_morgana_no_yakata	海市蜃楼之馆	ファタモルガーナの館	Fata Morgana No Yakata	204
fatal_frame	零	零	Fatal Frame	2244
fatal_frame_1	零	零	Fatal Frame	103
fatal_fury	饿狼传说	餓狼伝説	Fatal Fury	7985
fatal_fury:_city_of_the_wolves	饿狼传说City of the Wolves	餓狼伝説City of the Wolves	Fatal Fury: City of the Wolves	512
fatal_fury_2	饿狼传说2	餓狼伝説2	Fatal Fury 2	16
fatal_fury_3	饿狼传说3	餓狼伝説3	Fatal Fury 3	7
fate/grand_order	命运/冠位指定	Fate/Grand Order	Fate/Grand Order	305403
fate/grand_order_arcade	命运/冠位指定 Arcade		Fate/Grand Order Arcade	1314
fate/grand_order_the_stage	舞台FGO	舞台FGO	Fate/grand Order The Stage	3
fate/kaleid_liner_prisma_illya	魔法少女伊莉雅	プリズマ☆イリヤ	PrismaIllya	12152
fate/prototype:_fragments_of_blue_and_silver	Fate/Prototype 苍银的碎片	Fate/Prototype蒼銀のフラグメンツ	Fate Prototype Fragments Of Blue And Silver	1695
fate/unlimited_blade_works	Fate/stay night 无限剑制	フェイト/ステイナイト	Fate/UnlimitedBladeWorks	850
fate_(series)	Fate系列	Fateシリーズ	Fate	407639
fate_trigger:_the_novita	白厄战境	白厄戦境	Fate Trigger: The Novita	125
fausts_alptraum	浮士德的噩梦	ファウストの悪夢	Fausts Alptraum	13
fc_tokyo	FC东京	フットボールクラブ東京	FC Tokyo	13
fear_&_hunger_(series)	恐惧与饥饿		Fear & Hunger	2025
fei_chai_hu_a_ju	废柴狐阿桔	廃柴狐阿桔	Fei Chai Hu A Ju	6
feiren_zai	非人哉	非人哉	The Non Human	118
feisheng_cong_kaoshi_kaishi	飞升从考试开始	飛昇従考試開始	Feisheng Cong Kaoshi Kaishi	2
female_general_and_eldest_princess	女将军和长公主	女将軍和長公主	Female General And Eldest Princess	3
feng_lang	逢狼	逢狼	Feng Lang	1
feng_qi_chang'an:yu_gu_ren	风起长安：驭骨人	風起長安:馭骨人	Feng Qi Chang'an:yu Gu Ren	3
feng_xia_zhi_long_zhan_wu_busheng	风下之龙，战无不胜	風下之竜,戦無不勝	มังกรใต้ปีกปักษาไร้พ่าย	1
feng_yu_zhou	画江湖之风语咒	画江湖之風語呪	Feng Yu Zhou	1
fengling_yuxiu	风灵玉秀	風霊玉秀	Soul Mate Adventure	40
fengyunshe	风云社	風雲社	Fengyunshe	1
figure_story	高能手办团	フィギュアストーリー	Figure Fantasy	36
final_fantasy	最终幻想	ファイナルファンタジー	Final Fantasy	108340
final_fantasy_iv	最终幻想IV	ファイナルファンタジーIV	Final Fantasy IV	2793
final_fantasy_ix	最终幻想9	ファイナルファンタジーIX	Final Fantasy IX	3831
final_fantasy_tactics	最终幻想战略版	ファイナルファンタジータクティクス	Final Fantasy Tactics	2571
final_fantasy_v	最终幻想V	ファイナルファンタジーV	Final Fantasy V	2651
final_fantasy_vi	最终幻想VI	ファイナルファンタジーVI	Final Fantasy VI	4186
final_fantasy_vii	最终幻想7	ファイナルファンタジーVII	Final Fantasy VII	41334
final_fantasy_vii:_advent_children	最终幻想VII：圣子降临	アドベントチルドレン	Final Fantasy VII: Advent Children	3184
final_fantasy_vii:_ever_crisis	最终幻想VII:永恒危机	エバークライシス	Final Fantasy VII: Ever Crisis	4131
final_fantasy_vii_rebirth	最终幻想VII重生	ファイナルファンタジーVIIリバース	Final Fantasy VII Rebirth	4290
final_fantasy_vii_remake	最终幻想7重制版	ファイナルファンタジーVIIリメイク	Final Fantasy VII Remake	17375
final_fantasy_viii	最终幻想8	ファイナルファンタジーVIII	Final Fantasy VIII	3485
final_fantasy_x	最终幻想X	ファイナルファンタジーX	Final Fantasy X	2828
final_fantasy_xi	最终幻想XI	ファイナルファンタジーXI	Final Fantasy XI	3981
final_fantasy_xii	最终幻想XII	ファイナルファンタジーXII	Final Fantasy XII	1520
final_fantasy_xiii	最终幻想13	ファイナルファンタジーXIII	Final Fantasy XIII	1668
final_fantasy_xiv	最终幻想14	ファイナルファンタジーXIV	Final Fantasy XIV	34738
final_fantasy_xv	最终幻想XV	ファイナルファンタジーXV	Final Fantasy XV	2189
final_fantasy_xvi	最终幻想16	ファイナルファンタジーXVI	Final Fantasy XVI	2243
final_fight	快打天下	ファイナルファイト	Final Fight	1142
final_gear	重装战姬	ファイナルギア	Final Gear	469
finding_neverland_online	圣境传说Online	聖境伝説Online	Finding Neverland Online	3
fire_emblem	火焰纹章	ファイアーエムブレム	Fire Emblem	125325
fire_emblem:_genealogy_of_the_holy_war	圣战之系谱	聖戦の系譜	Fire Emblem: Genealogy Of The Holy War	6282
fire_emblem:_mystery_of_the_emblem	火焰纹章：纹章之谜	紋章の謎	Fire Emblem: Mystery Of The Emblem	5114
fire_emblem:_path_of_radiance	苍炎的轨迹	蒼炎の軌跡	Fire Emblem: Path of Radiance	5680
fire_emblem:_radiant_dawn	晓之女神	暁の女神	Fire Emblem: Radiant Dawn	6578
fire_emblem:_the_binding_blade	火焰纹章：封印之剑	封印の剣	Fire Emblem: The Binding Blade	4462
fire_emblem:_the_blazing_blade	烈火之剑	烈火の剣	Fire Emblem: The Blazing Blade	6600
fire_emblem:_the_sacred_stones	火焰纹章 圣魔之光石	聖魔の光石	Fire Emblem: The Sacred Stones	3787
fire_emblem:_thracia_776	特拉基亚776	トラキア776	Fire Emblem: Thracia 776	1180
fire_emblem:_three_houses	火焰纹章风花雪月	ファイアーエムブレム風花雪月	FE3H	31835
fire_emblem_awakening	火焰纹章：觉醒	ファイアーエムブレム覚醒	Fire Emblem Awakening	17004
fire_emblem_echoes:_shadows_of_valentia	火焰纹章 Echoes 另一位英雄王	ファイアーエムブレムEchoes	Fire Emblem Echoes: Shadows of Valentia	3410
fire_emblem_engage	火焰纹章Engage	ファイアーエムブレムエンゲージ	Fire Emblem Engage	12970
fire_emblem_fates	火焰纹章:if	ファイアーエムブレムif	Fire Emblem Fates	22277
fire_emblem_heroes	神装英雄	ファイアーエムブレムヒーローズ	Fire Emblem Heroes	34836
fire_emblem_warriors	FE无双	ファイアーエムブレム無双	Fire Emblem Warriors	311
fire_emblem_warriors:_three_hopes	火焰纹章无双：风花雪月	ファイアーエムブレム無双風花雪月	Fire Emblem Warriors: Three Hopes	2470
firefly_acg_expo	萤火虫动漫游戏嘉年华	蛍火虫動漫遊戯嘉年華	FFACG	4
firework_(game)	烟火	煙火	Firework (game)	3
first-class_lawyer	一级律师	一級律師	First-Class Lawyer	3
five_nights_at_freddy's	玩具熊的五夜惊魂	ファイブナイツアットフレディーズ	Five Nights at Freddy's	1428
five_tiger_generals	五虎上将	五虎上将	Five Tiger Generals	1
flame_toys	合机巧	合機巧	Flame Toys	88
flame_witch_fran	火焰魔女弗兰	フレイムウィッチフラン	Flame Witch Fran	3
flesh_blood_&_concrete	血肉与混凝土	血肉与混凝土	Flesh Blood & Concrete	139
flight_highschool	飞行高校	飛行高校	Flight Highschool	40
flip_flappers	轻拍翻转小魔女	フリップフラッパーズ	Flip Flappers	622
flirting_scholar	唐伯虎点秋香（电影）	唐伯虎点秋香(電影)	Flirting Scholar	1
flower_knight_girl	花骑士	フラワーナイトガール	Flower Knight Girl	5654
fog_(novel)	FOG[电竞]	FOG[电竞]	Fog (Novel)	1
food_fantasy	食之契约	フードファンタジー	FoodFantasy	492
forbidden_scrollery	东方铃奈庵	東方鈴奈庵	Forbidden Scrollery	551
forever_7th_capital	永远的7日之都	永遠の7日-終わりなき始まり	Forever Seven Days	733
formation_girls	编队少女	編隊少女	Formation Girls	638
formosa_oolong_tea	异人茶迹	異人茶跡	A Teatime Adventure	7
fortnite	堡垒之夜	フォートナイト	Fortnite	1719
fortress_girl	要塞少女	要塞少女	Fortress Girl	54
fortune_tellers_academy	豫言者育成学园	予言者育成学園	Fortune Tellers Academy	6
fossilized_wonders	锦上京	東方錦上京	Fossilized Wonders	733
foul_detective_satori	东方智灵奇传	東方智霊奇伝	Foul Detective Satori	500
foundation_series	银河帝国兴亡史	ファウンデーション	Foundation Series	3
fox_spirit_matchmaker	狐妖小红娘	縁結びの妖狐ちゃん	Fox_Spirit_Matchmaker	80
france_shoujo	佛兰西少女	仏蘭西少女	France Shoujo	71
frankenstein	弗兰肯斯坦	フランケンシュタイン	Frankenstein	274
freaked_fleapit_(game)	冥舞之约	冥舞之約	Freaked Fleapit (Game)	18
freedom_planet	自由星球	フリーダムプラネット	Freedom Planet	232
freedom_planet_1	自由星球1	自由星球1	Freedom Planet 1	47
freedom_planet_2	自由星球2	自由星球2	Freedom Planet 2	174
fresh_precure!	光之美少女Fresh!	フレッシュプリキュア!	Fresh Precure!	3546
friday_night_funkin'	周五夜放克	フライデーナイトファンキン	Friday Night Funkin'	912
friday_the_13th	十三号星期五	13日の金曜日	Friday The 13th	525
friendly_rivalry	善意的竞争	善意的競争	Friendly Rivalry	129
frontier_(magazine)	开拓动漫创意志	開拓動漫創意誌	Frontier (Magazine)	4
frozen_(disney)	冰雪奇缘	アナと雪の女王	Frozen	2059
fruity_robo	果宝特攻	果宝特攻	Fruity Robo	1
ftl:_faster_than_light	FTL:高速航行	FTL:高速航行	FTL Faster Than Light	24
fucheng_girls	府城少女	府城少女	Fucheng Girls	9
fuemaki_story	笛卷物语	笛巻物語	Fuemaki Story	10
fugou_keiji_balance:unlimited	富豪刑事_Balance:UNLIMITED	富豪刑事_Balance:UNLIMITED	Millionaire Detective Balance: Unlimited	22
fuhou_shinnyuu_(zutomayo)	不法侵入	不法侵入	Fuhou Shinnyuu	8
fujiya	不二家	不二家	Fujiya	65
fukakumei_zen'ya	不革命前夜	不革命前夜	Fukakumei Zen'ya	10
fukashin_ryouiki_(neco)	不花侵领域	不花侵領域	Fukashin Ryouiki (neco)	18
fukujusou_(vocaloid)	福寿草	福寿草	Fukujusou	2
fukumoto_mahjong	福本麻雀	福本麻雀	fkmt	1104
fullmetal_alchemist	钢之炼金术师	鋼の錬金術師	Fullmetal Alchemist	6621
fumetsu_no_anata_e	致不灭的你	不滅のあなたへ	To Your Eternity	160
fumikiri_jikan	踏切时间	踏切時間	Crossing Time	3
funamusea	海底囚人	海底囚人	FunAmusement	2476
funshiki	泛式	泛式	Funshiki	6
furuhata_ninzaburou_(tv_series)	古畑任三郎	古畑任三郎	Furuhata Ninzaburou (TV Series)	4
furuiro_meikyuu_rondo	古色迷宫轮舞曲	古色迷宮輪舞曲	Furuiro Meikyuu Rondo	9
furyou_michi_~gang_road~	不良道	不良道	Furyou Michi ~gang Road~	474
fusheng_jihua	赋生计划	賦生計劃	Relive Project	2
fusheng_yi_linglong	浮生忆玲珑	浮生憶玲瓏	Fusheng Yi Linglong	1
fusheng_yi_xi	浮生一戏	浮生一戯	Fusheng Yi Xi	14
fushigi_dagashiya:_zenitendou	钱天堂	ふしぎ駄菓子屋 銭天堂	Fushigi Dagashiya: Zenitendou	7
fushigiboshi_no_futago_hime	不可思议星球双胞胎公主	ふしぎ星の☆ふたご姫	Fushigiboshi no Futago Hime	908
futakoi	双恋	双恋	Futakoi	214
futari_wa_precure	光之美少女	ふたりはプリキュア	Futari Wa Precure	3317
futsuu_no_keion-bu	普通的轻音部	ふつうの軽音部	Girl Meets Rock!	1487
future_card_buddyfight_ace	未来卡神搭档对战	フューチャーカード神バディファイト	Future Card Shin Buddyfight	9
future_cop:_lapd	装甲机动队L.A.P.D.	装甲機動隊L.A.P.D.	Future Cop: Lapd	3
fuu'un	风云默示录	風雲黙示録	Fuu'un	55
fuufu_ijou_koibito_miman.	夫妇以上、恋人未满。	夫婦以上、恋人未満。	Fuufu Ijou Koibito Miman	191
fuujin_monogatari	风人物语	風人物語	Fuujin Monogatari	3
fuujin_raijin_zu	风神雷神图	風神雷神図	Fuujin Raijin Zu	5
fuuka	风夏	風夏	Fuuka	39
fuuki_iinchou_seira	风纪委员长圣薇	風紀委員長聖薇	Fuuki Iinchou Seira	422
fuuraiki	风雨来记	風雨来記	Fuuraiki	27
fuuraiki_4	风雨来记4	風雨来記4	Fuuraiki 4	2
fuuto_tantei	风都探侦	風都探偵	Fuuto Pi	208
fuwa_fuwa_cinnamoroll	肉桂狗	ふわふわ♥シナモン	FluffyFluffyCinnamoroll	2167
fuyuukan_(utau)	浮游感	浮遊感	Fuyuukan	2
fysg	浮游信号	浮遊信号	Fysg	3
g_gundam	机动武斗传G高达	機動武闘伝Gガンダム	Mobile Fighter G Gundam	1728
ga-rei	喰灵	喰霊	Ga-Rei	413
ga-rei_zero	喰灵-零-	喰霊-零-	Ga-rei Zero	403
ga_bunko	GA文库	GA文庫	Ga Bunko	101
gabriel_dropout	珈百璃的堕落	ガヴリールドロップアウト	Gabriel DropOut	1752
gachimuchi	哲♂学	ガチムチ	Gachimuchi	354
gaifu_kaisei	凯风快晴	凱風快晴	Gaifu Kaisei	30
gaim_gaiden:_kamen_rider_gridon_vs_kamen_rider_bravo	铠武外传	鎧武外伝	Gaim Gaiden: Kamen Rider Gridon Vs Kamen Rider Bravo	1
gakkou_gurashi!	学园孤岛	がっこうぐらし!	School-live!	1311
gakkyuu_houtei	学纠法廷	学糾法廷	Gakkyuu Houtei	1
gaku_minna_no_yama	岛崎三步	島崎三歩	Gaku Minna No Yama	1
gaku_ou	学☆王	学☆王	Gaku Ou	40
gakuen_basara	学园BASARA	学園BASARA	Gakuen Basara	132
gakuen_idolmaster	学园偶像大师	学園アイドルマスター	Gakuen Idolmaster	26872
gakuen_koushounin	学园交涉人	学園交渉人	Gakuen Koushounin	7
gakuen_taima	学园退魔！	学園退魔!	Gakuen Taima	20
gakusei_shoujo	乐圣少女	楽聖少女	Gakusei Shoujo	3
galaxy_angel	银河天使	ギャラクシーエンジェル	Galaxy Angel	2079
galaxy_fantasy	银河境界线	銀河境界線	Galaxy Fantasy	2
gallop_(magazine)	周刊Gallop	週刊Gallop	Gallop (magazine)	8
galo_sengen	GAL男宣言	GAL男宣言	Galo Sengen	1
gals!	超GALS!寿兰	超GALS!寿蘭	GALS!	29
galspolice_24h	GALSPOLICE24时	GALSPOLICE24時	Galspolice 24h	18
gambler_densetsu_tetsuya	胜负师传说哲也	勝負師伝説哲也	Gambler Densetsu Tetsuya	5
gangsta	GANGSTA匪徒	GANGSTA匪徒	GANGSTA.	201
gankutsu_hime	岩窟姬	岩窟姫	Gankutsu Hime	1
gankutsuou	岩窟王	巌窟王	Gankutsuou	118
gaokao.love.100days	高考恋爱100天	高考恋愛100天	Gaokao Love 100 Days	3
