tag	current_zh	ja	en	series	post_count
adachi_sakura	安达樱	安達	Adachi Sakura		699
adagumo_no_saragimaru	徒云蛇穴丸	徒雲蛇穴丸	Adagumo No Saragimaru		333
ade_(nikke)	爱德	エード	Ade		700
adeptus_astartes	星际战士	スペースマリーン	Adeptus Astartes		1272
admiral_graf_spee_(azur_lane)	斯佩伯爵海军上将（admiral·碧蓝航线）	アドミラル・グラーフ・シュペー（admiral·アズールレーン）	Admiral Graf Spee	碧蓝航线	897
admiral_hipper_(azur_lane)	希佩尔海军上将（碧蓝航线）	アドミラル・ヒッパー（アズールレーン）	Admiral Hipper	碧蓝航线	709
admire_groove_(umamusume)	爱慕槽	アドマイヤグルーヴ(ウマ娘)	Admire Groove	闪耀!优俊少女	992
admire_vega_(umamusume)	爱慕织姬	アドマイヤベガ（ウマ娘プリティーダービー）	Admire Vega	闪耀!优俊少女	4075
aegir_(azur_lane)	埃吉尔	エーギル(アズールレーン)	Aegir	碧蓝航线	1454
aerith_gainsborough	爱丽丝·盖恩斯巴勒	エアリス・ゲインズブール	Aerith Gainsborough		11832
aesc_(fate)	梣	トネリコ（Fate）	Aesc		1191
aether_(genshin_impact)	空（原神）	空（原神）	Aether	原神	13908
afuro_terumi	亚风炉	アフロディ	Afuro Terumi		694
agano_(kancolle)	阿贺野（舰队Collection）	阿賀野（舰队Collection）	Agano		1798
agatsuma_zenitsu	我妻善逸	我妻善逸	Agatsuma Zenitsu		1193
agent_(girls'_frontline)	代理人（少女前线）	エージェント(ドールズフロントライン)	Agent	少女前线	530
agent_3_(splatoon)	3号	3号（喷射战士）	Agent 3		1163
agent_4_(splatoon)	4号	4号	Agent 4		399
agent_8_(splatoon)	8号（喷射战士）	8号（喷射战士）	Agent 8		1517
aglaea_(honkai:_star_rail)	阿格莱雅	アグライア	Aglaea	崩坏:星穹铁道	2288
agnes_digital_(umamusume)	爱丽数码	アグネスデジタル（ウマ娘プリティーダービー）	Agnes Digital	闪耀!优俊少女	3277
agnes_tachyon_(tach-nology)_(umamusume)	爱丽速子（tach-nology）	アグネスタキオン(tach-nology)	Agnes Tachyon (tach-nology)	闪耀!优俊少女	5415
agnes_tachyon_(umamusume)	爱丽速子	アグネスタキオン（ウマ娘プリティーダービー）	Agnes Tachyon	闪耀!优俊少女	14062
aiba_yumi	相叶夕美	相葉夕美	Aiba Yumi		770
aida_mana	相田真奈	相田マナ	Aida Mana		2268
aihara_mei	蓝原芽衣	藍原芽衣	Aihara Mei		353
aihara_yuzu	蓝原柚子	藍原柚子	Aihara Yuzu		363
aijo_karen	爱城华恋	愛城華恋	Aijo Karen		1087
aijou_rentarou	爱城恋太郎	愛城恋太郎	Aijou Rentarou		341
aikawa_(dorohedoro)	会川	会川	Aikawa		434
aikawa_haruno	相川春乃	相川春乃	Aikawa Haruno		405
aina_(mao_lian)	艾娜（mao lian）	艾娜	Aina		415
aino_(genshin_impact)	爱诺	アイノ	Aino	原神	464
ainz_ooal_gown	安兹·乌尔·恭	アインズ・ウール・ゴウン	Ainz Ooal Gown		420
aioi_yuuko	相生祐子	相生祐子	Aioi Yuuko		730
air_shakur_(umamusume)	空中神宫	エアシャカール（ウマ娘プリティーダービー）	Air Shakur	闪耀!优俊少女	2305
airani_iofifteen	艾拉妮·伊欧菲芙婷	アイラニ・イオフィフティーン	Airani Iofifteen		1019
aircraft_carrier_oni	空母栖鬼	空母棲鬼	Aircraft Carrier Oni		541
aircraft_carrier_princess	空母栖姬	空母棲姫	Aircraft Carrier Princess		512
aircraft_carrier_water_oni	空母水鬼	空母水鬼	Aircraft Carrier Water Oni		409
airfield_princess	飞行场姬	リコリス・ヘンダーソン	Airfield Princess		1000
airi_(band)_(blue_archive)	栗村爱莉（乐队）	栗村愛莉	Airi (band)	碧蓝档案	767
airi_(blue_archive)	栗村爱莉	栗村アイリ	Airi	碧蓝档案	2168
aizawa_ema	蓝泽艾玛	藍沢エマ	Aizawa Ema		1445
aizawa_kazuha	相泽一叶	相沢一葉	Aizawa Kazuha		493
aizawa_shota	相泽消太	相沢消太	Aizawa Shota		798
aizawa_tomo	相泽智	相沢智	Aizawa Tomo		285
aizen_kunitoshi	爱染国俊	愛染国俊	Aizen Kunitoshi		282
aizen_sousuke	蓝染惣右介	藍染惣右介	Aizen Sousuke		374
ajaw_(genshin_impact)	库胡勒阿乔	クフル・アハウ	Ajaw	原神	759
ak-alfa_(girls'_frontline)	AK-阿尔法（少女前线）	AK-Alfa(ドールズフロントライン)	Ak-alfa	少女前线	325
akaashi_keiji	赤苇京治	赤葦京治	Akaashi Keiji		599
akaboshi_koume	赤星小梅	赤星小梅	Akaboshi Koume		1003
akagi-chan_(azur_lane)	小凰	赤城ちゃん	Akagi-chan	碧蓝航线	456
akagi_(azur_lane)	赤城（碧蓝航线）	赤城（アズールレーン）	Akagi	碧蓝航线	2653
akagi_(kancolle)	赤贺	赤城（舰队Collection）	Akagi		13003
akagi_miria	赤城米莉亚	赤城みりあ	Akagi Miria		2784
akagi_shigeru	赤木茂	赤木しげる	Akagi Shigeru		899
akai_haato	赤井心	赤井はあと	Akai Haato		2887
akali_(league)	阿卡丽	アカリ（英雄联盟）	Akali		1614
akama_ichibee_(katsumata_hiroki)	赤间市兵卫	赤間市兵衛	Akama Ichibee		355
akane_(blue_archive)	室笠朱音	室笠アカネ	Akane	碧蓝档案	2663
akane_(school_uniform)_(blue_archive)	室笠朱音（校服）	室笠アカネ(制服)	Akane (school Uniform)	碧蓝档案	476
akari_(blue_archive)	鳄渊亚伽里	鰐渕アカリ	Akari	碧蓝档案	698
akashi_(azur_lane)	明石（碧蓝航线）	明石（アズールレーン）	Akashi	碧蓝航线	1034
akashi_(kancolle)	明石（舰队Collection）	明石（舰队Collection）	Akashi		5443
akashi_seijuurou	赤司征十郎	赤黛	Akashi Seijuurou		303
akashiya_moka	赤夜萌香	赤夜萌香	Akashiya Moka		334
akatsuki_(kancolle)	晓（舰队Collection）	暁（舰队Collection）	Akatsuki		10683
akatsuki_kai_ni_(kancolle)	晓改二	暁改二	Akatsuki Kai Ni		720
akaza_(kimetsu_no_yaiba)	猗窝座	猗窩座	Akaza	鬼灭之刃	350
akaza_akari	赤座明里	赤座あかり	Akaza Akari		2397
akebi_komichi	明日小路	明日小路	Akebi Komichi		387
akebono_(kancolle)	曙	曙	Akebono		6973
akebono_kai_ni_(kancolle)	曙改二	曙改二	Akebono Kai Ni		459
akechi_goro	明智吾郎	明智吾郎	Akechi Goro		1627
akemi_homura	晓美焰	暁美ほむら	Akemi Homura		29875
akemi_homura_(magical_girl)	晓美焰（魔法少女）				13220
aki_(girls_und_panzer)	亚纪	アキ（ガールズ&パンツァー）	Aki	少女与战车	1083
aki_rosenthal	亚绮·罗森塔尔	アキ・ローゼンタール	Aki Rosenthal		1587
aki_shizuha	秋静叶	秋静葉	Aki Shizuha		5701
akigumo_(kancolle)	秋云（舰队Collection）	秋雲（舰队Collection）	Akigumo		3590
akigumo_kai_ni_(kancolle)	秋云改二	秋雲改二	Akigumo Kai Ni		415
akiha_rumiho	秋叶留未穗	秋葉留未穂	Akiha Rumiho		997
akinashi_haru	春夏冬春	春夏冬ハル	Akinashi Haru		453
akira_(blue_archive)	清澄晶	清澄アキラ	Akira	碧蓝档案	1484
akishimo_(kancolle)	秋霜（舰队Collection）	秋霜（舰队Collection）	Akishimo		373
akita_neru	亚北音留	亞北ネル	Akita Neru		2260
akita_toushirou	秋田藤四郎	秋田藤四郎	Akita Toushirou		420
akitsu_maru_(kancolle)	秋津丸	あきつ丸	Akitsu Maru		2701
akitsu_maru_kai_(kancolle)	秋津丸改	あきつ丸	Akitsu Maru Kai		1207
akitsushima_(kancolle)	秋津洲	秋津洲	Akitsushima		1104
akiyama_mizuki	晓山瑞希	暁山瑞希	Akiyama Mizuki		3898
akiyama_rinko	秋山凛子	秋山凜子	Akiyama Rinko		447
akiyama_yukari	秋山优花里	秋山優花里	Akiyama Yukari		5285
akizuki_(kancolle)	秋月（舰队Collection）	秋月（舰队Collection）	Akizuki		2648
akizuki_kanna	明月栞那	明月栞那	Akizuki Kanna		330
ako_(blue_archive)	天雨亚子	天雨アコ	Ako	碧蓝档案	7032
akuma_(street_fighter)	豪鬼	豪鬼	Akuma	街霸	732
akuma_homura	恶魔晓美焰	悪魔ほむら	Akuma Homura		2828
albedo_(genshin_impact)	阿贝多	アルベド（原神）	Albedo	原神	3048
albedo_(overlord)	雅儿贝德	アルベド（overlord）	Albedo		1569
alcina_dimitrescu	阿契娜·蒂米特雷斯库	オルチーナ・ドミトレスク	Alcina Dimitrescu		724
alcremie	霜奶仙	マホイップ	Alcremie		1399
aleph_(reverse:1999)	阿莱夫	阿莱夫	Aleph	重返未来1999	393
alexander_(fate)	亚历山大	アレキサンダー（Fate）	Alexander		468
alexandrina_sebastiane	亚历山德丽娜·莎芭丝缇安	アレクサンドリナ・セバスチャン	Alexandrina Sebastiane		1379
algerie_(azur_lane)	阿尔及利亚	アルジェリー（アズールレーン）	Algerie	碧蓝航线	293
alhaitham_(genshin_impact)	艾尔海森	アルハイゼン	Alhaitham	原神	3767
alice_(alice_in_wonderland)	爱丽丝（爱丽丝梦游仙境）	アリス（爱丽丝梦游仙境）	Alice		3954
alice_(genshin_impact)	艾莉丝（原神）	アリス(原神)	Alice	原神	807
alice_margatroid	爱丽丝·玛格特洛依德	アリス・マーガトロイド	Alice Margatroid		39881
alice_margatroid_(pc-98)	爱丽丝·玛格特洛依德（pc-98）	ロリス	Alice Margatroid		1791
alice_thymefield	爱丽丝·泰姆菲尔德	アリス・タイムフィールド	Alice Thymefield		2964
alice_thymefield_(sea_of_thyme)	爱丽丝•百里香之海	タイム香る海辺	Alice Thymefield		883
alice_zuberg	爱丽丝	アリス・ツーベルク	Alice Zuberg		1221
alina_(arknights)	阿丽娜	阿麗娜	Alina	明日方舟	378
alina_gray	阿莉娜·格雷	アリナ・グレイ	Alina Gray		1295
alisa_mikhailovna_kujou	艾莉莎·米哈伊罗夫纳·九条	アリサ・ミハイロヴナ・九条	Alisa Mikhailovna Kujou		1710
alisaie_leveilleur	阿莉塞	アリゼー・ルヴェユール	Alisaie Leveilleur		575
alkaid_mcgrath	路辰	路辰	Alkaid Mcgrath		494
allister_(pokemon)	欧尼奥	欧尼奥	Allister	宝可梦	1224
almond_eye_(umamusume)	杏目（闪耀！优俊少女）	アーモンドアイ（ウマ娘プリティーダービー）	Almond Eye	闪耀!优俊少女	2396
alolan_vulpix	阿罗拉六尾	アローラロコン	Alolan Vulpix		1538
alpha:_crimson_abyss_(pgr)	深红之渊	ルシア・深淵ノ紅	Alpha: Crimson Abyss		287
alpha_(pgr)	深红之渊	深紅之淵	Alpha		809
alsace_(azur_lane)	阿尔萨斯	阿爾薩斯	Alsace	碧蓝航线	630
altaria	七夕青鸟	チルタリス	Altaria		1485
altera_(fate)	阿提拉	アルテラ	Altera		1442
altera_the_santa_(fate)	阿提拉圣诞	アルテラ・ザ・サン〔タ〕	Altera The Santa		281
alucard_(castlevania)	阿鲁卡多	アドリアン・ファーレンハイツ・ツェペシュ	Alucard		400
amada_ken	天田乾	天田乾	Amada Ken		640
amae_koromo	天江衣	天江衣	Amae Koromo		444
amagi_(azur_lane)	鳐	天城（アズールレーン）	Amagi	碧蓝航线	1390
amagi_(kancolle)	天城	天城（舰队Collection）	Amagi		1023
amagi_hiiro	天城一彩	天城一彩	Amagi Hiiro		575
amagi_kai_(kancolle)	天城改	天城改	Amagi Kai		303
amagi_rinne	天城燐音	燐ニキ	Amagi Rinne		565
amagiri_(kancolle)	天雾	天霧	Amagiri		417
amaha_masane	天羽雅音	天羽雅音	Amaha Masane		389
amajiki_tamaki	天喰环	サンイーター	Amajiki Tamaki		289
amakubo_yuri	天久保百合	天久保百合	Amakubo Yuri		652
amakura_mayu	天仓茧	天倉繭	Amakura Mayu		612
amakura_mio	天仓澪	天倉澪	Amakura Mio		614
amakusa_juuza	天草十三	天草十三	Amakusa Juuza		293
amakusa_shirou_(fate)	天草四郎（Fate）	シロウ・コトミネ	Amakusa Shirou		701
amamiya_hibiya	雨宫响也	ヒビヤ	Amamiya Hibiya		557
amamiya_ren	雨宫莲	雨宮蓮	Amamiya Ren		5371
amamiya_shizuku_(hizuki_yayoi)	雨宫静久	雨宮静久	Amamiya Shizuku		383
amane_kanata	天音彼方	天音かなた	Amane Kanata		7747
amane_kanata_(1st_costume)	天音彼方（初始服装）	天音かなた(通常)	Amane Kanata		1675
amane_kanata_(work)	天音彼方（work）	天音かなた(お仕事)	Amane Kanata		1135
amane_misa	弥海砂	弥海砂	Amane Misa		923
amane_suzuha	阿万音铃羽	阿万音鈴羽	Amane Suzuha		937
amano_hina_(tenki_no_ko)	天野阳菜	天野陽菜	Amano Hina	天气之子	322
amano_keita	天野景太	天野ケータ	Amano Keita		381
amano_maya	天野舞耶	天野舞耶	Amano Maya		331
amano_nene_(vtuber)	天野宁宁	寧々たん絵	Amano Nene		315
amano_soraha	天野天叶	天野天葉	Amano Soraha		333
amasawa_yuuko	天泽勇子	天沢勇子	Amasawa Yuuko		592
amate_yuzuriha	天手让叶	アマテ・ユズリハ	Amate Yuzuriha		4821
amatsukaze_(kancolle)	天津风	天津風	Amatsukaze		7738
amaya_tsubame	雨夜燕	雨夜燕	Amaya Tsubame		394
amber_(genshin_impact)	安柏	アンバー（原神）	Amber	原神	3426
ambriel_(arknights)	安比尔	アンブリエル	Ambriel	明日方舟	419
amemiya_darumi	饴宫怠美	飴宮怠美	Amemiya Darumi		550
amemori_sayo	雨森小夜	雨森と美術	Amemori Sayo		342
amemura_ramuda	饴村乱数	飴村乱数	Amemura Ramuda		311
america_(hetalia)	美国	アルフレッド・F・ジョーンズ	America		2188
amiya_(arknights)	阿米娅	アーミヤ(アークナイツ)	Amiya	明日方舟	12098
amou_kanade	天羽奏	天羽奏	Amou Kanade		326
ampharos	电龙	デンリュウ	Ampharos		1123
amuro_ray	阿姆罗·雷	アムロ・レイ	Amuro Ray		1221
amuro_tooru	安室透	安室透	Amuro Tooru		881
amy_rose	艾米·罗丝	エミー・ローズ	Amy Rose		3406
an-an_lee	泥鯭的士	リー・アンアン	An-an Lee		377
anabuki_tomoko	穴拭智子	穴拭智子	Anabuki Tomoko		311
anakin_skywalker	安纳金天行者	アナキン・スカイウォーカー	Anakin Skywalker		419
anastasya_feodorovna_snezhnaya	安娜丝塔夏	氷の女皇	Anastasya Feodorovna Snezhnaya		810
anaxa_(honkai:_star_rail)	阿那克萨戈拉斯	アナイクス	Anaxa	崩坏:星穹铁道	2547
anby_demara	安比·德玛拉	アンビー・デマラ	Anby Demara		2331
anchorage_(azur_lane)	安克雷奇	アンカレッジ(アズールレーン)	Anchorage	碧蓝航线	566
ando_tazusa	安藤鹤纱	安藤鶴紗	Ando Tazusa		425
andou_(girls_und_panzer)	安藤	安藤	Andou	少女与战车	2133
android_17	人造人间17号	人造人間17号	Android 17		357
android_18	人造人18号	人造人18号	Android 18		2964
android_21	人造人间21号	人造人間21号	Android 21		1937
ange_katrina	安洁·卡特莉娜	アンジュ・カトリーナ	Ange Katrina		5273
angel_dust	猫蛛	ハスエン	Angel Dust		549
angelia_(girls'_frontline)	安洁莉娅	アンジェリア(ドールズフロントライン)	Angelia	少女前线	488
angelica_(project_moon)	安吉莉卡	安吉莉卡	Angelica	月亮计划	837
angelina_(arknights)	安洁莉娜	アンジェリーナ	Angelina	明日方舟	5935
angelina_the_mellow_wish_(arknights)	予愿安洁莉娜	予願安潔莉娜	Angelina The Mellow Wish	明日方舟	910
anila_(granblue_fantasy)	阿妮拉	アニラ	Anila	碧蓝幻想	1682
anisphia_wynn_palettia	艾妮丝菲亚·温·帕雷提亚	アニスフィア・ウィン・パレッティア	Anisphia Wynn Palettia		1093
anjo_nala	天使娜娜	アンジョナナ	Anjo Nala		510
anjou_naruko	安城鸣子	あなる	Anjou Naruko		953
ankha_(animal_crossing)	艳后	ナイル（あつまれどうぶつの森）	Ankha	集合啦!动物森友会	962
anna_(frozen)	安娜	アナ（frozen）	Anna		1137
annie_(league)	安妮（英雄联盟）	安妮（英雄联盟）	Annie		549
ansel_(arknights)	安赛尔	アンセル(アークナイツ)	Ansel	明日方舟	556
anton_ivanov	安东·伊万诺夫	アンドー・イワノフ	Anton Ivanov		379
anubis_(mythology)	阿努比斯	アヌビス（mythology）	Anubis		507
anya_(spy_x_family)	阿尼亚	アーニャ・フォージャー	Anya	间谍过家家	6755
anyoji_hime	安养寺姬芽	1日1あにょ	Anyoji Hime		5910
anzai_romi	安斋蕗美	安斎蕗美	Anzai Romi		284
anzu_(ensemble_stars!)	杏（偶像梦幻祭）	杏（あんさんぶるスターズ!）	Anzu	偶像梦幻祭	366
aoba_(blue_archive)	内海青叶	内海アオバ	Aoba	碧蓝档案	1664
aoba_(kancolle)	青叶	青葉	Aoba		3183
aoba_moca	青叶摩卡	青葉モカ	Aoba Moca		1250
aoi_(blue_archive)	葵（碧蓝档案）	扇喜アオイ	Aoi	碧蓝档案	813
aoi_nagisa	苍井渚砂	蒼井渚砂	Aoi Nagisa		296
aokumo_rin	青云凛	青雲凜	Aokumo Rin		733
aomine_daiki	青峰大辉	青峰大輝	Aomine Daiki		565
aono_miki	苍乃美希	蒼乃美希	Aono Miki		786
aotsuki_eito	苍月卫人	衛拓	Aotsuki Eito		4485
aoyagi_touya	青柳冬弥	青柳冬弥	Aoyagi Touya		2070
aoyama_sumika	青山澄香	青山澄香	Aoyama Sumika		343
aozaki_touko	苍崎橙子	蒼崎橙子	Aozaki Touko		476
aozora_kyoka	青空杏花	青空杏花	Aozora Kyoka		282
apollo_justice	王泥喜法介	オドキョ	Apollo Justice		950
applejack	苹果杰克	アップルジャック	Applejack		633
aragaki_ayase	新垣绫濑	新垣あやせ	Aragaki Ayase		974
araki_hina	荒木比奈	荒木比奈	Araki Hina		419
araragi_karen	阿良良木火怜	12月3日は火憐ダーの日	Araragi Karen		1175
araragi_koyomi	阿良良木历	阿良々木暦	Araragi Koyomi		1881
araragi_tsukihi	阿良良木月火	阿良々木月火	Araragi Tsukihi		1076
arare_(kancolle)	霰	霰	Arare		925
arash_(fate)	阿拉什	アーラシュ・カマンガー	Arash		322
arashi_(kancolle)	岚（舰队Collection）	嵐（舰队Collection）	Arashi		1464
arashio_(kancolle)	荒潮（舰队Collection）	荒潮	Arashio		1951
arashio_kai_ni_(kancolle)	荒潮改二	荒潮改二	Arashio Kai Ni		762
arataki_itto	荒泷一斗	荒滝一斗	Arataki Itto		1592
arbok	阿柏怪	アーボック	Arbok		1107
arcana_(reverse:1999)	阿尔卡纳	アルカナ（リバース1999）	Arcana	重返未来1999	310
arcane_(arknights)	诀	オクギ	Arcane	明日方舟	502
arcane_jinx	金克丝（arcane）		Arcane Jinx		1372
arcane_vi	蔚（arcane）				1123
arcanine	风速狗	ウインディ	Arcanine		1111
archer_(fate)	卫宫	エミヤ（Fate）	Archer		7200
archer_(fate/samurai_remnant)	周瑜（fate/samurai remnant）	周瑜（サムレム）	Archer		341
archer_(ragnarok_online)	弓手	アーチャー（ラグナロクオンライン）	Archer	仙境传说	464
archetto_(arknights)	空弦	空弦	Archetto	明日方舟	583
architect_(girls'_frontline)	建筑师（少女前线）	アーキテクト(ドールズフロントライン)	Architect	少女前线	455
arcueid_brunestud	爱尔奎特·布伦史塔德	アルクェイド・ブリュンスタッド	Arcueid Brunestud		6615
argalia_(project_moon)	阿尔加利亚	アルガリア	Argalia	月亮计划	605
argenti_(honkai:_star_rail)	银枝	アルジェンティ	Argenti	崩坏:星穹铁道	488
argus_(reverse:1999)	阿尔古斯	アルゴス(リバース:1999)	Argus	重返未来1999	288
aria_(human)_(zenless_zone_zero)	爱苪（人类形态）	アリア（人类形态·ゼンレスゾーンゼロ）	Aria (human)	绝区零	2467
aria_(robot)_(zenless_zone_zero)	爱苪（robot）	アリア（robot·ゼンレスゾーンゼロ）	Aria (robot)	绝区零	961
aria_(zenless_zone_zero)	爱苪	アリア（ゼンレスゾーンゼロ）	Aria	绝区零	3136
ariake_(kancolle)	有明（舰队Collection）	有明（舰队Collection）	Ariake		303
ariel_(disney)	艾莉儿	アリエル（ウォルト・ディズニー・カンパニー）	Ariel	迪士尼	616
arihara_nanami	在原七海	在原七海	Arihara Nanami		859
arihara_tsubasa	有原翼	有原翼	Arihara Tsubasa		373
arima_kana	有马加奈	有馬かな	Arima Kana		3578
arima_miyako	有间都古	有間都古	Arima Miyako		315
arimura_hinae	有村雏绘	有村雛絵	Arimura Hinae		294
arimura_mao	有村麻央	有村麻央	Arimura Mao		1409
aris_(blue_archive)	天童爱丽丝	天童アリス	Aris	碧蓝档案	11743
aris_(maid)_(blue_archive)	天童爱丽丝（女仆）	天童アリス(メイド)	Aris (maid)	碧蓝档案	1891
arjuna_(fate)	阿周那	アルジュナ	Arjuna		1706
ark_royal_(kancolle)	皇家方舟（舰队Collection）	アーク・ロイヤル（舰队Collection）	Ark Royal		1511
arle_nadja	亚鲁鲁·娜嘉	アルル・ナジャ	Arle Nadja		1546
arlecchino_(genshin_impact)	阿蕾奇诺	アルレッキーノ（原神）	Arlecchino	原神	5905
armin_arlert	阿尔敏·阿诺德	アルミン・アルレルト	Armin Arlert		1651
arona_(blue_archive)	阿罗娜	アロナ	Arona	碧蓝档案	7870
artem_wing_(tears_of_themis)	左京静真	左然	Artem Wing	未定事件簿	461
arthur_pendragon_(fate)	亚瑟·潘德拉贡	アーサー・ペンドラゴン（Fate）	Arthur Pendragon		1399
artoria_caster_(fate)	阿尔托莉雅·卡斯特	アルトリア・キャスター	Artoria Caster		4587
artoria_caster_(second_ascension)_(fate)	阿尔托莉雅(Caster)				1509
artoria_pendragon_(fate)	阿尔托莉雅·潘德拉贡（Fate）	アルトリア・ペンドラゴン	Artoria Pendragon		46144
artoria_pendragon_(lancer)_(fate)	狮子王（Lancer·Fate）	アルトリア・ペンドラゴン（Lancer）	Artoria Pendragon (lancer)		5778
artoria_pendragon_(lancer)_(third_ascension)_(fate)	阿尔托莉雅·潘德拉贡（Lancer·三次再临·Fate）				1033
artoria_pendragon_(lancer_alter)_(fate)	阿尔托莉雅·潘德拉贡（lancer alter·Fate）	アルトリア・オルタ	Artoria Pendragon (lancer Alter)		2235
artoria_pendragon_(swimsuit_ruler)_(fate)	水着狮子王	アルトリア・ペンドラゴン(ルーラー)	Artoria Pendragon (swimsuit Ruler)		1975
artoria_pendragon_(swimsuit_ruler)_(first_ascension)_(fate)	阿尔托莉雅·潘德拉贡（泳装Ruler·一次再临·Fate）				1586
aru_(blue_archive)	陆八魔阿露	陸八魔アル	Aru	碧蓝档案	7630
aru_(dress)_(blue_archive)	陆八魔阿露（礼服）	陸八魔アル（礼服）	Aru (dress)	碧蓝档案	1150
aru_(new_year)_(blue_archive)	陆八魔阿露（新年）	アル(正月)	Aru (new Year)	碧蓝档案	297
asada_shino	朝田诗乃	朝田詩乃	Asada Shino		385
asagami_fujino	浅上藤乃	浅上藤乃	Asagami Fujino		423
asagiri_gen	浅雾幻	あさぎりゲン	Asagiri Gen		474
asagumo_(kancolle)	朝云	朝雲	Asagumo		1462
asahi_(kancolle)	朝日	朝日	Asahi		294
asahina_aoi	朝日奈葵	朝日奈葵	Asahina Aoi		966
asahina_hiyori	朝比奈日和	ヒヨリ	Asahina Hiyori		330
asahina_mafuyu	朝比奈真冬	朝比奈まふゆ	Asahina Mafuyu		4083
asahina_mikuru	朝比奈实玖瑠	朝比奈みくる	Asahina Mikuru		4374
asahina_mirai	朝日奈未来	朝日奈みらい	Asahina Mirai		1319
asakaze_(kancolle)	朝风（舰队Collection）	朝風（舰队Collection）	Asakaze		994
asakura_rikako	朝仓理香子	朝倉理香子	Asakura Rikako		430
asakura_toru	浅仓透	浅倉透	Asakura Toru		3305
asakusa_midori	浅草氏	浅草みどり	Asakusa Midori		483
asami_sato	佐藤麻美	佐藤麻美	Asami Sato		540
asanagi_yori	朝凪依	朝凪依	Asanagi Yori		292
asanaka_yomogi	麻中蓬	麻中蓬	Asanaka Yomogi		307
asari_nanami	浅利七海	浅利七海	Asari Nanami		591
asashimo_(kancolle)	朝霜	朝霜	Asashimo		1965
asashio_(kancolle)	朝潮	朝潮（舰队Collection）	Asashio		6272
asashio_kai_ni_(kancolle)	朝潮改二	朝潮改二	Asashio Kai Ni		2095
ascalon_(arknights)	阿斯卡纶	アスカロン(アークナイツ)	Ascalon	明日方舟	366
ash_(titanfall_2)	艾许	アッシュ（タイタンフォール2）	Ash	泰坦陨落2	423
ash_ketchum	小智	サトシ	Ash Ketchum		6335
ashido_mina	芦户三奈	芦戸三奈	Ashido Mina		2308
ashigara_(kancolle)	足柄	足柄	Ashigara		3087
ashigara_kai_ni_(kancolle)	足柄改二	足柄改二	Ashigara Kai Ni		806
ashiya_douman_(fate)	芦屋道满（Fate）	蘆屋道満（Fate）	Ashiya Douman		2258
ashveil_(honkai:_star_rail)	不死途	不死途	Ashveil	崩坏:星穹铁道	738
asirpa	阿席里帕	アシㇼパ	Asirpa		1100
asmoday_(genshin_impact)	阿斯莫代	天理の調停者	Asmoday	原神	284
assam_(girls_und_panzer)	阿萨姆	アッサム（ガールズ&パンツァー）	Assam	少女与战车	1464
assassin_(fate/zero)	刺客	アサシン(Fate/Zero)	Assassin		1105
asta_(honkai:_star_rail)	艾丝妲	アスター	Asta	崩坏:星穹铁道	514
astarion	阿斯塔里昂	アスタリオン	Astarion		650
astarte_(surio)	阿斯塔蒂	阿斯塔蒂	Astarte		323
asterios_(fate)	阿斯忒里俄斯	アステリオス（Fate）	Asterios		358
