tag	current_zh	ja	en	post_count
isekai_ryouridou	异世界料理道	異世界料理道	Isekai Ryouridou	9
isekai_shikkaku	异世界失格	異世界失格	Isekai Shikkaku	28
isekai_shokudou	异世界食堂	異世界食堂	Isekai Shokudou	73
isekai_shuugaku_ryokou	异世界修学旅行	異世界修学旅行	Isekai Shuugaku Ryokou	6
isekai_yakkyoku	异世界药局	異世界薬局	Parallel World Pharmacy	25
ishigami_senki	石神战记	石神戦記	Ishigami Senki	8
ishura	异修罗	異修羅	Ishura	77
ishuzoku_reviewers	异种族风俗娘评鉴指南	異種族レビュアーズ	Interspecies Reviewers	862
isobe_isobee_monogatari	矶部矶兵卫物语	磯部磯兵衛物語	Isobe Isobee Monogatari	6
issen_kounen_(vocaloid)	一千光年	一千光年	Issen Kounen	36
isshin-ji	一心寺	一心寺	Isshin-ji	1
isshou_senkin	一胜千金	一勝千金	ST✰R: Strike It Rich	58
issun-boushi	一寸法师	一寸法師	Issun-Boushi	15
it_(stephen_king)	小丑回魂	イット	IT	310
ito-en	伊藤园	伊藤園	Ito-En	18
itokoi_chidori	爱恋千鸟	愛恋千鳥	Itokoi Chidori	1
itou_junji_kyoufu	伊藤润二恐怖	伊藤潤二恐怖	Itou Junji Kyoufu	25
itsuyuudan	逸游团	逸遊団	Itsuyuudan	2
iwaihime	祝姬	祝姫	Iwaihime	14
iwamotochou_geinousha	岩本町艺能社	岩本町芸能社	Iwamotochou Geinousha	68
iyagatteru_kimi_ga_suki	喜欢的就是一脸嫌恶的你	嫌がってるキミが好き	Iyagatteru Kimi Ga Suki	83
iza!_to_iu_toki_no_goshinjutsu	痴汉击退法	痴漢撃退法	Iza! To Iu Toki no Goshinjutsu	1
izumizaki_yagetsu	泉崎夜月	泉崎夜月	Izumizaki Yagetsu	1
jack-up_(synthesizer_v)	寂句	寂句	Jack-up (synthesizer V)	2
jackie_chan_adventures	成龙历险记	ジャッキー・チェン・アドベンチャー	Jackie Chan Adventures	31
jadekey	玉键	玉鍵	Jadekey	6
james_cameron's_avatar	阿凡达	阿凡達	Avatar	142
jangleuleul_bakkwobodolog_hagessseubnida	让我们转变剧情风格	譲我們転変劇情風格	I Will Change The Genre	1
jankirou	雀妃楼	雀妃楼	Jankirou	5
janryuumon	雀龙门	雀竜門	Janryuumon	9
japan_air_self-defense_force_omaezaki_sub-base	御前崎分屯基地	御前崎分屯基地	Japan Air Self-Defense Force Omaezaki Sub-Base	110
japan_airlines	日本航空	日本航空	Japan Airlines	49
japan_post_service	日本邮政株式会社	日本郵政株式会社	Japan Post Service	5
japan_racing_association	日本中央竞马会	日本中央競馬会	JRA	281
japan_railways	JR货物	JR貨物	Japan Railways	236
japanese_communist_party	日本共产党	日本共産党	Japanese Communist Party	1
japanese_mythology	日本神话	日本神話	Japanese Mythology	304
japanese_urban_legends	洒落怖	日本の都市伝説	Japanese Urban Legends	1018
jashin-chan_dropkick	邪神与拌面	邪神ちゃんドロップキック	Dropkick On My Devil!	1782
jashin_shoukan_-inran_kyonyuu_oyako_ikenie_gishiki-	邪娠娼馆―淫乱巨乳母娘生贽仪式―	邪娠娼館―淫乱巨乳母娘生贄儀式―	Jashin Shoukan -inran Kyonyuu Oyako Ikenie Gishiki-	7
jc_murasaki_shikibu	JC紫式部	JC紫式部	Jc Murasaki Shikibu	3
jersey_to_yukai_na_nakama-tachi	Jersey和愉快的朋友们	ジャージと愉快な仲間たち	Jersey & The Merry Bunch	1
jewel_princess_reincarnation	宝石姬reincarnation	宝石姫reincarnation	Jewel Princess Reincarnation	13
jewelpet_(series)	宝石宠物	ジュエルペット	Jewelpet	678
ji_ja_shaonu	姬甲少女	姬甲少女	Ji Ja Shaonu	3
ji_peng_gou_you	雪山游泳馆	雪山游泳館	Ji Peng Gou You	116
ji_zhan_jiang_nan	激战江南	激戦江南	Ji Zhan Jiang Nan	1
jian_xia_shi_jie	剑侠世界	剣俠世界	Jian Xia Shi Jie	1
jiang_ziya_(movie)	姜子牙	姜子牙	Legend Of Deification	3
jiangnan_baijingtu	江南百景图	水都百景録	Jiangnan Baijingtu	70
jianxia_qingyuan_(series)	剑侠情缘系列	剣侠情縁	The Legend Of Sword And Fairy	225
jianxia_qingyuan_online_3	剑侠情缘网络版三	剣俠情縁網路版三	The Legend Of Sword And Fairy Online 3	220
jianxia_qingyuan_shouyou	剑侠情缘手游	剣俠情縁手遊	Jianxia Qingyuan Shouyou	1
jiao_cuo_can_xiang	交错残响	交錯残響	Jiao Cuo Can Xiang	1
jiao_wu_da_zhanggui	叫我大掌柜	叫我大掌櫃	Jiao Wu Da Zhanggui	1
jiaruo_lianse_yanhong	假若恋色嫣红	仮若恋色嫣紅	Jiaruo Lianse Yanhong	1
jibaku_shounen_hanako-kun	地缚少年花子君	地縛少年花子くん	Toilet-bound Hanako-kun	627
jigen_tsuushin_(vocaloid)	次元通信	次元通信	Jigen Tsuushin (vocaloid)	28
jigoku_kisetsukan	地狱季节感	地獄季節感	Jigoku Kisetsukan	3
jigoku_koushien	地狱甲子园	地獄甲子園	Jigoku Koushien	3
jigoku_shoujo	地狱少女	地獄少女	Jigoku Shoujo	874
jigokuraku	地狱乐	地獄楽	Jigokuraku	878
jikan_teishi_yuusha	时间停止勇者	時間停止勇者	Jikan Teishi Yuusha	8
jikanwari_danshi	时间割男子	時間割男子	Jikanwari Danshi	1
jiko_ken'o_(vocaloid)	自己嫌恶	自己嫌悪	Jiko Ken'o (vocaloid)	4
jikou_keisatsu	时效警察	時効警察	Jikou Keisatsu	1
jikuu_haouden	时空霸王传	時空覇王伝	Jikuu Haouden	5
jimoto_saikou	地元最高！	地元最高!	Jimoto Saikou	75
jin-roh	人狼JIN-ROH	人狼JIN-ROH	Jin-Roh	60
jinba	人马	人馬	Jinba	33
jing_wei_qing_shang	泾渭情殇	涇渭情殤	Clear And Muddy Loss Of Love	83
jingai_makyou	尘骸魔京	塵骸魔京	Jingai Makyou	124
jingju_mao	京剧猫	京劇猫	Jingju Mao	16
jingling_zhi_dan	精灵之蛋	精霊之蛋	Jingling Zhi Dan	457
jinguang_budaixi	金光布袋戏	金光布袋戯	Jinguang Budaixi	246
jinhongi	镇魂记	鎭魂記	Jinhongi	216
jinkela	金坷垃	金坷垃	Jinkela	9
jinmonkan	寻问奸	尋問姦	Jinmonkan	3
jinrou_kyoushikyoku_(vocaloid)	人狼狂诗曲	人狼狂詩曲	Jinrou Kyoushikyoku (vocaloid)	5
jinsei	「人生」	「人生」	Jinsei	70
jinzou_ningen_100	人造人间100	人造人間100	Jinzou Ningen 100	22
jiraishin	地雷震	地雷震	Jiraishin	2
jiraiya_gouketsu_monogatari	自来也豪杰物语	児雷也豪傑譚	Jiraiya Gouketsu Monogatari	1
jisatsu_no_tame_no_101_no_houhou	自杀的101种方法	ジサツのための101の方法	101 Methods For Suicide	21
jishenkong_jihua	极深空计划	極深空計畫	Xtreme Deep Field Project	108
jishou_akuyaku_reijou_na_konyakusha_no_kansatsu_kiroku	自称恶役大小姐的婚约者观察记录	自称悪役令嬢な婚約者の観察記録	Jishou Akuyaku Reijou Na Konyakusha No Kansatsu Kiroku	5
jishou_mushoku_(vocaloid)	自伤无色	自傷無色	Jishou Mushoku (vocaloid)	7
jiuji_qifeng_zhi_lu	九畿：岐风之旅	九畿:岐風之旅	Jiuji Qifeng Zhi Lu	2
jizhan_tank	机战坦克	機戦坦克	Jizhan Tank	3
jk_soukan	JK双奸	JK双姦	Jk Soukan	8
jk_taimabu	JK退魔部	JK退魔部	JK Taimabu	29
jojo_no_kimyou_na_bouken	JOJO的奇妙冒险	ジョジョの奇妙な冒険	JoJo's Bizarre Adventure	54863
jojolion	乔乔福音	ジョジョリオン	Jojolion	1982
joshi_kausei	默绘女高	女子かう生	Joshi Kausei	4
joshi_kouhei	女子攻兵	女子攻兵	Joshi Kouhei	4
joshi_kousei	女子高生Girl's-High	女子高生Girl's-High	Girl's High	149
joshi_kousei_girls-live	女子高生Girls-Live	女子高生Girls-Live	Joshi Kousei Girls-Live	8
joshikousei=yamamoto_isoroku	女子高生=山本五十六	女子高生=山本五十六	Joshikousei=yamamoto Isoroku	5
joshuu_kangoku	女囚奸狱~1号栋：葵编~	女囚姦獄~1号棟:葵編~	Joshuu Kangoku	2
josou_gakuen_(you)	女装学园（妊）	女装学園(妊)	Josou Gakuen	9
josou_jinja	女装神社	女装神社	Josou Jinja	42
josou_sanmyaku	女装山脉	女装山脈	Josou Sanmyaku	30
josou_shinwa	女装神话	女装神話	Josou Shinwa	24
jounetsu_tairiku	情热大陆	情熱大陸	Jounetsu Tairiku	3
jouou_(vocaloid)	娘王	嬢王	Jouou (Vocaloid)	2
journal_of_the_mysterious_creatures	异常生物见闻录	異常生物見聞録	The Record of Unusual Creatures	1
journey_to_the_west	西游记	西遊記	Journey To The West	1057
journey_to_the_west_(1986_tv_series)	86版西游记	86版西游记	Journey To The West (1986 TV Series)	31
jousenji_temple	净泉寺	浄泉寺	Jousenji Temple	7
joutai_ijou_kanojo_(vocaloid)	状态异常彼女	状態異常彼女	Joutai Ijou Kanojo (vocaloid)	11
jouzai_(tooboe)	锭剂	錠剤	Jouzai (tooboe)	47
juan_siliang	眷思量	眷思量	The Island Of Siliang	29
jue_yu_guan	觉与观	覚与観	Jue Yu Guan	18
juedui_yanyi	绝对演绎	絶対演繹	Juedui Yanyi	8
juhou_kaikin!!_hyde_&_closer	咒法解禁	呪法解禁!!ハイド&クローサー	Juhou Kaikin!!	1
juju_densetsu	JuJu传说	JuJu伝説	Juju Densetsu	2
jujutsu_kaisen	咒术回战	呪術廻戦	Jujutsu Kaisen	24165
jujutsu_kaisen_modulo	咒术廻战≡	呪術廻戦≡	Jujutsu Kaisen Modulo	319
jun-jo	润情	潤情	Jun-Jo	1
jun_you_ji_fou	君有疾否	君有疾否	Jun You Ji Fou	3
jun_zi_chang'an_lai	君自长安来	君自長安来	Jun Zi Chang'an Lai	1
jungle_juice	丛林果汁	ジャングルジュース	Jungle Juice	9
junjou_shin	纯情心	純情心	Junjou Shin	1
junkan_chissoku_(vocaloid)	循环窒息	循環窒息	Junkan Chissoku	1
junketsu_karyuudo	纯洁狩人	純潔狩人	Junketsu Karyuudo	5
justice_breaker_(vocaloid)	正义粉碎	正義粉砕	Justice Breaker (vocaloid)	1
justice_pao_(tv_series)	包青天	包青天	Justice Pao	1
jutaijima	受胎岛	受胎島	Jutaijima	14
jutei_senki	树帝战纪	樹帝戦紀	Jutei Senki	1
juu_mensou_(vocaloid)	十面相	十面相	Juu Mensou (vocaloid)	36
juu_ni_seiza_kan_satsujin_jiken	十二星座馆杀人事件	十二星座館殺人事件	Juu Ni Seiza Kan Satsujin Jiken	23
juubee_ninpuuchou	兽兵卫忍风帖	獣兵衛忍風帖	Ninja Scroll	3
juuhan_shuttai!	重版出来！	重版出来!	Juuhan Shuttai!	1
juukishi_cutie_bullet	铳骑士Cutie☆Bullet	銃騎士Cutie☆Bullet	Juukishi Cutie Bullet	114
juuni_kokuki	十二国记	十二国記	Juuni Kokuki	429
juuni_taisen	十二大战	十二大戦	Juuni Taisen	182
juuni_taisen_vs_juuni_taisen	十二大战对十二大战	十二大戦対十二大戦	Juuni Taisen Vs Juuni Taisen	7
juuouki	兽王记	獣王記	Altered Beast	16
juusan_kihei_bouei_ken	十三机兵防卫圈	十三機兵防衛圏	Juusan Kihei Bouei Ken	951
juuzaengi_~engetsu_sangokuden~	十三支演义~偃月三国传~	十三支演義~偃月三国伝~	Juuzaengi ~engetsu Sangokuden~	4
k-on!	轻音少女	けいおん!	K-on!	27459
k.o._3an_guo	终极三国	終極三国	K.o. 3an Guo	2
k2_(manga)	K2(漫画)	K2(漫画)	K2	7
k_kenkei_k-ka	K县警K课	K県警K課	K Kenkei K-ka	4
kabukimonogatari	倾物语	傾物語	Kabukimonogatari	101
kachiuma	胜马	勝馬	Kachiuma	1
kachou_ouji	课长王子: Hard Rock Save the Space	課長王子: Hard Rock Save the Space	Kachou Ouji	5
kadai:_taikanshiki	假题：戴冠式	仮題:戴冠式	Kadai: Taikanshiki	8
kaden_shoujo	家电少女	家電少女	Kaden Shoujo	26
kadokawa	台湾角川	株式会社KADOKAWA	Kadokawa	162
kaen_seibo:_the_virgin_on_megiddo	火焰圣母	火焔聖母	Kaen Seibo: The Virgin on Megiddo	5
kaerimichi_(horakai)	孵道	孵道	Kaerimichi (horakai)	1
kaette_kita_ultraman	归来的奥特曼	帰ってきたウルトラマン	Return Of Ultraman	121
kafun_shoujo_chuuihou!	花粉少女注意报！	花粉少女注意報!	Kafun Shoujo Chuuihou!	22
kagakushu_(ado)	过学习	過学習	Kagakushu (ado)	5
kagamine_hachi-hachi_hana_no_kassen_(vocaloid)	镜音八八花合战	鏡音八八花合戦	Kagamine Hachi-Hachi Hana No Kassen (Vocaloid)	5
kagaribi_(dear_vocalist)	篝火	カガリビ	Kagaribi (Dear Vocalist)	2
kage_no_jitsuryokusha_ni_naritakute!	想要成为影之实力者	陰の実力者になりたくて!	The Eminence In Shadow	1068
kagerou:_kokumeikan_shinshou	影牢~刻命馆真章~	影牢~刻命館真章~	Kagerou: Kokumeikan Shinshou	23
kagerou_ii:_dark_illusion	影牢II	影牢II	Trapt	7
kagerou_project	阳炎Project	カゲロウプロジェクト	Kagerou Project	5420
kagerou_touryuuki	霞外笼逗留记	霞外籠逗留記	Kagerou Touryuuki	1
kagerou_variation_(vocaloid)	影炎≒Variation	影炎≒Variation	Kagerou Variation (vocaloid)	2
kagerowic_diary	阳炎日记	陽炎日記	Kagerowic Diary	1
kagetsu_tooya	歌月十夜	歌月十夜	Kagetsu Tooya	336
kagewani	影鳄	影鰐	Kagewani	2
kagura_gumi	神乐组	神楽組	Kagura Gumi	438
kagura_reimeiki	神乐黎明记	神楽黎明記	Kagura Reimeiki	2
kagurabachi	神乐钵	カグラバチ	Kagurabachi	772
kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~	辉夜大小姐想让我告白~天才们的恋爱头脑战~	かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜	Kaguya-sama: Love Is War	7024
kai-ri-sei_million_arthur	乖离性百万亚瑟王	乖離性ミリオンアーサー	Kai-ri-sei Million Arthur	378
kai_no_kiseki	界之轨迹	界の軌跡	Kai No Kiseki	1220
kaiba_seichoutsuu_(zutomayo)	海马成长痛	海馬成長痛	Kaiba Seichoutsuu	32
kaibutsu_chudoku	怪物中毒	怪物中毒	Kaibutsu Chuudoku	2
kaibutsu_oujo	怪物王女	怪物王女	Princess Resurrection	370
kaidan_shin_mimibukuro	怪谈新耳袋	怪談新耳袋	Kaidan Shin Mimibukuro	10
kaidenwa_(cevio)	怪电话	怪電話	Kaidenwa (cevio)	7
kaigen_seito	戒严圣都	戒厳聖都	Kaigen Seito	2
kaihou_shoujo	解放少女	解放少女	Kaihou Shoujo	11
kaihoukuukan_over_field	开放空间OverField	開放空間OverField	Kaihoukuukan Over Field	4
kaii_shoukougun	怪异症候群	怪異症候群	Kaii Shoukougun	211
kaijin_bessou	海神别庄	海神別荘	Kaijin Bessou	2
kaijin_reijou	怪人丽娘	怪人麗嬢	Kaijin Reijou	20
kaiju_(syasendou_yuuki)	回树	回樹	Kaiju (syasendou Yuuki)	2
kaiju_princess_(game)	怪兽公主	怠け怪獣姫は働きたくない	Kaiju Princess (game)	3
kaijuu_monogatari	贝兽物语	貝獣物語	SHELL_SAURS_STORY	3
kaijuu_no._8	怪兽8号	怪獣8号	Kaiju No. 8	649
kaikatsu_kurabu	怪活倶乐部	怪活倶楽部	Kaikatsu Kurabu	1
kaiketsu_jouki_tanteidan	快杰蒸气探侦团	快傑蒸気探偵団	Kaiketsu Jouki Tanteidan	15
kaikou_(ttrpg_scenario)	傀逅	傀逅	Kaikou (ttrpg Scenario)	12
kairaku_izonshou	快乐依存症	快楽依存症	Kairaku Izonshou	2
kaisei_(vocaloid)	快晴	快晴	Kaisei (vocaloid)	12
kaishun	回春	回春	Rejuvenation	1
kaisou_toshi_danpenshuu	阶层都市断片集	階層都市断片集	Kaisou Toshi Danpenshuu	8
kaitei_(utau)	海底	海底	Kaitei	2
kaitei_gunkan	海底军舰	海底軍艦	Kaitei Gunkan	8
kaito_ranma	快刀乱魔	快刀乱魔	Kaito Ranma	4
kaitori_oukoku	买取王国	買取王国	Kaitori Oukoku	30
kaiyoudou	海洋堂	海洋堂	Kaiyoudou	1
kaizoku_oujo	海贼王女	海賊王女	Fena: Pirate Princess	22
kajiri_kamui_kagura	神咒神威神乐	神咒神威神楽	Kajiri Kamui Kagura	48
kakegurui	狂赌之渊	賭ケグルイ	Kakegurui	975
kaki_hoshuu	夏期补习	夏期補習	Kaki Hoshuu	14
kaku-san-sei_million_arthur	扩散性百万亚瑟王	拡散性ミリオンアーサー	Kaku-san-sei Million Arthur	121
kakumei_zensen	革命前线	革命前線	Kakumei Zensen	1
kakyuusei	下级生	下級生	Kakyuusei	421
kakyuusei_(series)	下级生	下級生	Kakyuusei	748
kaleidoscope_of_death	死亡万花筒	死亡万花筒	Kaleidoscope Of Death	1
kamen_rider	假面骑士	仮面ライダー	Kamen Rider	12899
kamen_rider_01_(series)	假面骑士01	仮面ライダーゼロワン	Kamen Rider 01 (series)	579
kamen_rider_555	假面骑士555	仮面ライダー555	Kamen Rider 555	619
kamen_rider_555:_paradise_lost	消失的天堂	パラダイス・ロスト	Kamen Rider 555 Paradise Lost	26
kamen_rider_build:_be_the_one	Be The One(映画)	Be The One(映画)	Kamen Rider Build: Be The One	8
kamen_rider_dcd	假面骑士Decade	仮面ライダーディケイド	Kamen Rider Decade	719
kamen_rider_den-o:_i'm_born!	俺、诞生！	俺、誕生!	Kamen Rider Den-o: I'm Born!	3
kamen_rider_den-o_(series)	假面骑士电王	仮面ライダー電王	Kamen Rider Den-o (series)	476
kamen_rider_ex-aid_(series)	假面骑士ex-aid	仮面ライダーエグゼイド	Kamen Rider Ex-Aid	510
kamen_rider_fourze_(series)	假面骑士Fourze	仮面ライダーフォーゼ	Kamen Rider Fourze	525
kamen_rider_gotchard_(series)	假面骑士gotchard	仮面ライダーガッチャード	Kamen Rider Gotchard (Series)	273
kamen_rider_kabuto:_god_speed_love	神速爱	神速爱	God Speed Love	13
kamen_rider_ooo_(series)	假面骑士OOO	仮面ライダーオーズ	Kamen Rider OOO	715
kamen_rider_w	假面骑士W	仮面ライダーW	Kamen Rider W	1098
kami_nomi_zo_shiru_sekai	只有神知道的世界	神のみぞ知るセカイ	The World God Only Knows	1472
"kami_skill_""kokyuu""_suru_dake_de_level_up_suru_boku_wa_kamigami_no_dungeon_e_idomu."	神呼吸	神スキル【呼吸】するだけでレベルアップする僕は、神々のダンジョンへ挑む。	"Kami Skill ""kokyuu"" Suru Dake De Level Up Suru Boku Wa Kamigami No Dungeon E Idomu."	2
kamichama_karin	小女神花铃	かみちゃまかりん	Kamichama Karin	39
kamigakari_(ttrpg)	神我狩	神我狩	Kamigakari (ttrpg)	10
kamihime_project	神姬PROJECT	神姫PROJECT	Kamihime Project	362
kamiina_botan_yoeru_sugata_wa_yuri_no_hana	利群与青岛	上伊那ぼたん、酔へる姿は百合の花	Kamiina Botan Yoeru Sugata Wa Yuri No Hana	1781
kamiko_(game)	神巫女	神巫女	Kamiko (game)	11
kamisama_kazoku	神样家族	神様家族	Kamisama Kazoku	43
kamisama_no_you_na_kimi_e	神君	神様のような君へ	Kamisama No You Na Kimi E	111
kamitsubaki_city_under_construction	神椿市建设中。	神椿市建設中。	Kamitsubaki City Under Construction	45
kamitsubaki_city_under_construction:_regenerate	神椿市建设中。REGENERATE	神椿市建設中。REGENERATE	Kamitsubaki City Under Construction: Regenerate	1
kamitsubaki_studio	神椿	神椿スタジオ	Kamitsubaki Studio	7068
kamiuta	神诗	神詩	Kamiuta	3
kamonohashi_ron_no_kindan_suiri	鸭乃桥论的禁忌推理	鴨乃橋ロンの禁断推理	Kamonohashi Ron no Kindan Suiri	8
kamuy_apocalypse	神威启示录	神威啓示録	Kamuy Apocalypse	5
kanagawa_okinami_ura	神奈川冲浪里	神奈川沖浪裏	Kanagawa Okinami Ura	332
